"OO_6221"	"0.5273972602739726 - 40.535714285714285"
"OO_6222"	"0.4828897338403042 - 31.011811023622048"
"OO_6223"	"0.5591397849462365 - 30.126923076923077"
"OO_6224"	"0.39379699248120303 - 37.243436754176614"
"OO_6225"	"0.5831202046035806 - 36.08771929824562"
"OO_6226"	"0.5513428120063191 - 41.48710601719198"
"OO_6227"	"0.6424384525205158 - 38.574817518248175"
"OO_6228"	"0.3195402298850575 - 28.057553956834532"
"OO_6229"	"0.5384615384615384 - 34.32936507936508"
"OO_6230"	"0.32889963724304716 - 26.926470588235293"
"OO_6231"	"0.5363748458692972 - 33.80689655172414"
"OO_6232"	"0.4498525073746313 - 34.2983606557377"
"OO_6233"	"0.43026315789473685 - 36.703363914373085"
"OO_6234"	"0.4783180026281209 - 37.129120879120876"
"OO_6235"	"0.34936998854524626 - 27.304918032786887"
"OO_6236"	"0.42857142857142855 - 34.28691983122363"
"OO_6237"	"0.502086230876217 - 31.13573407202216"
"OO_6238"	"0.5292331055429005 - 49.67862266857963"
"OO_6239"	"0.4910277324632953 - 30.272425249169434"
"OO_6240"	"0.39779005524861877 - 33.50231481481482"
"OO_6241"	"0.3472584856396867 - 32.26315789473684"
"OO_6242"	"0.5 - 30.919270833333332"
"OO_6243"	"0.4924114671163575 - 35.9041095890411"
"OO_6244"	"0.5455764075067024 - 37.206388206388205"
"OO_6245"	"0.4178525226390686 - 34.87616099071207"
"OO_6246"	"0.42984014209591476 - 24.272727272727273"
"OO_6247"	"0.6578483245149912 - 40.75871313672922"
"OO_6248"	"0.537525354969574 - 35.31320754716981"
"OO_6249"	"0.4765217391304348 - 44.715328467153284"
"OO_6250"	"0.38902439024390245 - 32.059561128526646"
"OO_6251"	"0.528 - 31.966666666666665"
"OO_6252"	"0.43875 - 40.566951566951566"
"OO_6253"	"0.5019867549668874 - 38.70448548812665"
"OO_6254"	"0.47107438016528924 - 37.67368421052632"
"OO_6255"	"0.41545893719806765 - 35.895348837209305"
"OO_6256"	"0.4939106901217862 - 33.175342465753424"
"OO_6257"	"0.5238095238095238 - 38.78683385579937"
"OO_6258"	"0.6240601503759399 - 40.390361445783135"
