"LAS_GTF"	"0.37272727272727274_24.146341463414632"
"LAS_IDA"	"0.33962264150943394_22.63888888888889"
"LAS_MSY"	"0.3923699914748508_33.66268332428028"
"LAS_OKC"	"0.42667389536459743_28.94345616264295"
"LAS_PHX"	"0.4108666525632889_27.32669698790011"
"LAS_SMX"	"0.38235294117647056_28.03076923076923"
"LAS_TUL"	"0.4571873378308251_28.229284903518728"
"LAS_TUS"	"0.4706959706959707_26.854616200919704"
"LAX_AUS"	"0.349692448632378_30.48690119760479"
"LAX_BDL"	"0.3684710351377018_23.623711340206185"
"LAX_BLI"	"0.5906040268456376_29.40909090909091"
"LAX_COS"	"0.36644703497212366_36.90110650069156"
"LAX_DFW"	"0.3763678029217989_32.182662303067204"
"LAX_DRO"	"0.3055555555555556_54.45454545454545"
"LAX_DTW"	"0.3578909994674241_27.897321428571427"
"LAX_FAT"	"0.39872351741866857_34.38995108937306"
"LAX_HDN"	"0.37037037037037035_38.6"
"LAX_HNL"	"0.3977649729352191_34.55469710272168"
"LAX_JFK"	"0.3629732049203776_39.96076886028285"
"LAX_LEX"	"1.0_10.0"
"LAX_LWS"	"1.0_125.0"
