"AA_2829"	"0.21818181818181817_19.25"
"AA_286"	"0.22789115646258504_104.00746268656717"
"AA_293"	"0.4524271844660194_49.067596566523605"
"AA_300"	"0.4033659066232356_33.43472409152086"
"AA_307"	"0.32828529555446995_36.072916666666664"
"AA_31"	"0.31296829971181556_29.482504604051567"
"AA_314"	"0.3898809523809524_34.20737913486005"
"AA_321"	"0.40830188679245283_43.842883548983366"
"AA_328"	"0.30576587070471756_33.693333333333335"
"AA_335"	"0.4189189189189189_38.10991636798089"
"AA_342"	"0.453125_41.95474137931034"
"AA_349"	"0.4043696275071633_34.972542072630645"
"AA_356"	"0.42810457516339867_39.8309705561614"
"AA_363"	"0.37233489339573583_41.237430167597765"
"AA_370"	"0.3524590163934426_41.896032831737344"
"AA_377"	"0.4859154929577465_38.21739130434783"
"AA_38"	"0.4393939393939394_50.160919540229884"
"AA_384"	"0.388560157790927_32.01776649746193"
"AA_391"	"0.2650545282124229_31.23613595706619"
"AA_398"	"0.3301158301158301_40.04093567251462"
"AA_412"	"0.3683923705722071_29.85355029585799"
"AA_419"	"0.38083687083080653_30.573248407643312"
"AA_426"	"0.37236286919831224_24.662889518413596"
"AA_433"	"0.43391415214619633_30.31733594515181"
"AA_440"	"0.3186936936936937_30.547703180212014"
"AA_447"	"0.4183185235816815_24.86764705882353"
"AA_45"	"0.5072568940493469_47.47353361945637"
"AA_454"	"0.3481331987891019_31.18550724637681"
"AA_461"	"0.2935203094777563_25.922570016474463"
"AA_468"	"0.3672473867595819_28.349146110056925"
"AA_475"	"0.35506134969325154_31.714902807775378"
"AA_482"	"0.35859124866595515_50.74404761904762"
"AA_489"	"0.23826934795856186_24.296675191815858"
"AA_496"	"0.3584672435105068_28.53448275862069"
"AA_5"	"0.4760715771951727_52.54632867132867"
"AA_503"	"0.5153061224489796_40.148514851485146"
"AA_510"	"0.3333333333333333_30.44923076923077"
"AA_517"	"0.38695163104611924_27.36627906976744"
"AA_52"	"0.3436293436293436_29.786516853932586"
"AA_524"	"0.38767890479153705_29.682182985553773"
"AA_531"	"0.3893893893893894_20.00771208226221"
"AA_538"	"0.24660397074190177_39.38559322033898"
"AA_545"	"0.3926258096661684_28.498730964467004"
"AA_552"	"0.2921747967479675_29.51478260869565"
"AA_559"	"0.45366444579043_33.22429906542056"
"AA_566"	"0.3962546816479401_34.46880907372401"
"AA_573"	"0.43799472295514513_27.521084337349397"
"AA_580"	"0.32164767747589834_29.33514986376022"
"AA_59"	"0.30619345859429364_32.33863636363636"
"AA_594"	"0.3086196503918023_26.82421875"
"AA_601"	"0.3565445026178011_31.679882525697504"
"AA_608"	"0.3785109228711547_33.78798586572438"
"AA_615"	"0.3610431947840261_29.13318284424379"
"AA_622"	"0.3657182512144344_30.489563567362428"
"AA_629"	"0.37072434607645877_24.780189959294436"
"AA_636"	"0.3326171035668242_30.49095607235142"
"AA_643"	"0.487337440109514_28.889044943820224"
"AA_650"	"0.4392982456140351_28.10702875399361"
"AA_657"	"0.24369747899159663_25.082758620689656"
"AA_66"	"0.23889293517844137_52.52743902439025"
"AA_664"	"0.20676328502415459_33.35514018691589"
"AA_671"	"0.4189373297002725_25.708943089430893"
